,Time,Open,High,Low,Close,Volume
0,2019-12-09 09:35:00,317.963914959,318.312330382,317.336767198,317.336767198,33385
1,2019-12-09 09:40:00,317.525906999,318.113235854,317.018215954,318.113235854,8871
2,2019-12-09 09:45:00,318.222737844,318.26255675,317.829526153,317.829526153,3313
3,2019-12-09 09:50:00,317.814594063,318.342194561,317.665273168,318.158032123,10532
4,2019-12-09 09:55:00,318.282466203,318.551243815,318.15305476,318.551243815,5258
5,2019-12-09 10:00:00,318.531334362,318.610972173,318.322285108,318.411877645,5224
6,2019-12-09 10:05:00,318.441741825,319.168436849,318.421832372,319.13857267,8901
7,2019-12-09 10:10:00,319.287893566,319.287893566,318.770247795,318.969342322,6818
8,2019-12-09 10:15:00,318.939478143,318.939478143,318.680655257,318.849885606,4457
9,2019-12-09 10:20:00,319.048980133,319.108708491,318.86611181,318.949333322,6413
10,2019-12-09 10:25:00,318.780202521,318.949432869,318.511424909,318.551243815,7324
11,2019-12-09 10:30:00,318.461651277,318.491515456,318.202828392,318.406900282,5648
12,2019-12-09 10:35:00,318.287443566,318.431787098,318.232692571,318.282466203,5447
13,2019-12-09 10:40:00,318.342194561,318.602012919,318.202828392,318.382013466,4799
14,2019-12-09 10:45:00,318.332239834,318.535316252,318.302375655,318.451696551,18776
15,2019-12-09 10:50:00,318.292420929,318.362104014,318.163009486,318.362004466,5236
16,2019-12-09 10:55:00,318.362104014,318.581107994,318.352149287,318.352149287,18732
17,2019-12-09 11:00:00,318.332239834,318.431787098,318.163009486,318.272511476,10587
18,2019-12-09 11:05:00,318.352149287,318.491515456,318.168484586,318.222737844,6588
19,2019-12-09 11:10:00,318.13812267,318.352149287,317.909163964,317.973869685,6330
20,2019-12-09 11:15:00,317.93405078,317.93405078,317.505997546,317.595590083,8318
21,2019-12-09 11:20:00,317.436314461,317.625454262,317.376586103,317.615499536,5939
22,2019-12-09 11:25:00,317.496042819,317.496042819,317.257129387,317.326812471,1584
23,2019-12-09 11:30:00,317.127717944,317.127717944,316.844008242,316.928623416,4724
24,2019-12-09 11:35:00,316.888804511,317.069781436,316.829076153,316.948532869,4453
25,2019-12-09 11:40:00,316.689709984,316.898759237,316.560298541,316.560298541,5518
26,2019-12-09 11:45:00,316.639936352,316.679755257,316.510524909,316.510524909,3242
27,2019-12-09 11:50:00,316.540389088,316.69966471,316.162109486,316.69966471,7505
28,2019-12-09 11:55:00,316.719574163,316.799211974,315.624554262,315.634508988,9026
29,2019-12-09 12:00:00,315.619576899,315.853512969,315.52749568,315.848236964,6754
30,2019-12-09 12:05:00,316.04265277,316.460751277,315.913241327,316.282860317,8562
31,2019-12-09 12:10:00,316.231792571,316.341294561,315.992879138,315.992879138,3400
32,2019-12-09 12:15:00,316.002833864,316.410977645,316.002833864,316.251702023,3894
33,2019-12-09 12:20:00,316.246426018,316.401022919,316.002833864,316.191973665,5031
34,2019-12-09 12:25:00,316.04265277,316.04265277,315.843558242,315.9032866,2519
35,2019-12-09 12:30:00,315.963014959,316.052607496,315.68428262,315.68428262,4676
36,2019-12-09 12:35:00,315.614599536,315.803739337,315.594690083,315.763920431,5391
37,2019-12-09 12:40:00,315.695431914,315.714146799,315.485188093,315.714146799,5011
38,2019-12-09 12:45:00,315.674327894,315.863467695,315.525006998,315.525006998,14477
39,2019-12-09 12:50:00,315.613006779,315.614599536,315.455323914,315.534961725,6351
40,2019-12-09 12:55:00,315.520029635,315.609622172,315.455323914,315.46527864,6108
41,2019-12-09 13:00:00,315.415505008,315.584735357,315.365731376,315.495142819,6695
42,2019-12-09 13:05:00,315.46527864,315.505097546,315.276138839,315.286093565,5954
43,2019-12-09 13:10:00,315.256229386,315.345821924,314.848085605,314.942655506,14689
